Identifiant,"Date (AAAA/MM/JJ)",Heure,Nom,"Région épicentrale",Choc,"X RGF93/L93","Y RGF93/L93","Latitude en WGS 84","Longitude en WGS 84","Intensité épicentrale","Qualité intensité épicentrale"
30027,1977/04/28,"3 h 22 min 23 sec","BOCAGE BOURBONNAIS (CERILLY)",BOURBONNAIS,REPLIQUE,703828.63,6609255.88,46.58,3.05,,
870022,1977/04/29,"18 h 15 min 2 sec","PLATEAU DU LIMOUSIN (CHALUS)",LIMOUSIN,,542948.60,6507611.74,45.65,0.98,3,INCERTAINE
640381,1977/04/30,"22 h 41 min 38 sec","BEARN (MOURENX)","PYRENEES OCCIDENTALES",,405449.49,6258725.80,43.37,-0.63,5,"INFORMATION ISOLÉE"
360028,1977/05/17,"2 h 49 min 47 sec","MARCHE-BOISCHAUT (EGUZON)",BERRY,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",598998.95,6598991.13,46.48,1.68,5,INCERTAINE
700019,1977/06/27,"21 h 30 min","PLATEAU DE HAUTE-SAONE (VESOUL)",FRANCHE-COMTE,,934060.07,6728651.54,47.62,6.12,4,"ASSEZ SURE"
640382,1977/07/22,"23 h 15 min","BEARN (PAU)","PYRENEES OCCIDENTALES",,426738.33,6250363.45,43.30,-0.37,,
310029,1977/07/26,"22 h 45 min","HAUT-COMMINGES (LUCHON)","PYRENEES CENTRALES",,503481.12,6191930.10,42.80,0.60,4,"INFORMATION ISOLÉE"
40144,1977/08,,"UBAYE (LARCHE)","ALPES PROVENCALES","GROUPE DE SECOUSSES D UN ESSAIM",1006234.87,6379794.78,44.45,6.85,,
640383,1977/08/09,"23 h 9 min 9 sec","BEARN (MONTORY)","PYRENEES OCCIDENTALES",,387809.50,6229881.76,43.10,-0.83,3.5,"ASSEZ SURE"
640384,1977/08/10,"23 h 54 min","BEARN (MONTORY)","PYRENEES OCCIDENTALES",REPLIQUE,389165.73,6229816.01,43.10,-0.82,3,"INFORMATION ISOLÉE"
40145,1977/09,,"UBAYE (LARCHE)","ALPES PROVENCALES","GROUPE DE SECOUSSES D UN ESSAIM",1006234.87,6379794.78,44.45,6.85,,
650405,1977/09/01,"20 h 43 min 24 sec","LAVEDAN (FERRIERES)","PYRENEES CENTRALES",PRECURSEUR,433547.53,6218549.27,43.02,-0.27,4,"INFORMATION ISOLÉE"
650407,1977/09/07,"22 h 50 min 35 sec","LAVEDAN (FERRIERES)","PYRENEES CENTRALES",,433624.17,6220400.77,43.03,-0.27,5,"ASSEZ SURE"
650408,1977/09/07,"23 h","LAVEDAN (FERRIERES)","PYRENEES CENTRALES","GROUPE DE SECOUSSES D UN ESSAIM",433624.17,6220400.77,43.03,-0.27,,
650409,1977/09/08,"2 h","LAVEDAN (FERRIERES)","PYRENEES CENTRALES","GROUPE DE SECOUSSES D UN ESSAIM",433624.17,6220400.77,43.03,-0.27,,
640385,1977/09/12,"22 h 20 min 28 sec","PAYS BASQUE (STE-ENGRACE)","PYRENEES OCCIDENTALES",,383285.22,6220826.43,43.02,-0.88,6.5,INCERTAINE
650410,1977/09/29,"1 h 58 min 50 sec","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",,466360.80,6222837.84,43.07,0.13,5,"ASSEZ SURE"
650411,1977/09/29,"2 h 5 min 30 sec","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",REPLIQUE,466360.80,6222837.84,43.07,0.13,,
1130154,1977/10/03,"1 h 26 min 38 sec","UBAYE (LARCHE)","ALPES PROVENCALES",,1006234.87,6379794.78,44.45,6.85,,
170098,1977/10/10,"6 h 5 min 57 sec","ILE D'OLERON",CHARENTES,,370450.52,6562633.65,46.08,-1.27,5,INCERTAINE
170099,1977/10/13,"2 h 31 min 55 sec","ILE D'OLERON",CHARENTES,REPLIQUE,379939.40,6571394.93,46.17,-1.15,3,"INFORMATION ISOLÉE"
640386,1977/11/09,"16 h 24 min","BEARN (ARETTE)","PYRENEES OCCIDENTALES",,397303.76,6229427.52,43.10,-0.72,,
640387,1977/12/01,"16 h 7 min","BEARN (SAUVETERRE-DE-BEARN)","PYRENEES OCCIDENTALES",,379983.46,6263659.07,43.40,-0.95,5,"INFORMATION ISOLÉE"
670114,1977/12/16,"20 h 28 min 7 sec","PLAINE DE BASSE-ALSACE (MOLSHEIM)",ALSACE,,1029698.03,6833374.48,48.52,7.47,4.5,SURE
40146,1978/01,,"UBAYE (LARCHE)","ALPES PROVENCALES","GROUPE DE SECOUSSES D UN ESSAIM",1006234.87,6379794.78,44.45,6.85,,
640388,1978/01/05,"1 h 12 min 25 sec","BEARN (MONTORY)","PYRENEES OCCIDENTALES",,390611.21,6231601.47,43.12,-0.80,4,"ASSEZ SURE"
30032,1978/02/11,"14 h 13 min 14 sec","COMBRAILLE (N-W. ST-POURCAIN-SUR-SIOULE)",BOURBONNAIS,,708963.57,6588901.15,46.40,3.12,4,SURE
640389,1978/02/17,"2 h 34 min 17 sec","BEARN (ARETTE)","PYRENEES OCCIDENTALES",,393234.69,6229620.48,43.10,-0.77,4,"ASSEZ SURE"
640390,1978/02/17,"4 h 33 min 41 sec","BEARN (ARETTE)","PYRENEES OCCIDENTALES",,393234.69,6229620.48,43.10,-0.77,4,"ASSEZ SURE"
640391,1978/02/17,"19 h 39 min 8 sec","BEARN (MONTORY)","PYRENEES OCCIDENTALES",,393234.69,6229620.48,43.10,-0.77,,
200012,1978/04/02,"20 h 10 min 20 sec","CASTAGNICCIA (CERVIONE)",CORSE,PRECURSEUR,1236597.85,6151713.30,42.27,9.50,4,INCERTAINE
640392,1978/04/02,"22 h 53 min","BEARN (MONTORY)","PYRENEES OCCIDENTALES",,389165.73,6229816.01,43.10,-0.82,3.5,"ASSEZ SURE"
200013,1978/04/03,"6 h 26 min 42 sec","CASTAGNICCIA (CERVIONE)",CORSE,,1236597.85,6151713.30,42.27,9.50,6,"ASSEZ SURE"
200014,1978/04/08,"3 h 33 min 16 sec","CASTAGNICCIA (CERVIONE)",CORSE,REPLIQUE,1236140.40,6157257.85,42.32,9.50,,
200015,1978/04/18,,"PAYS D'AJACCIO (BASTELICA)",CORSE,,1201795.76,6119171.38,42.00,9.05,,
200016,1978/04/21,"12 h 57 min 9 sec","CASTAGNICCIA (CERVIONE)",CORSE,REPLIQUE,1229583.13,6152998.92,42.28,9.42,,
200017,1978/04/26,,"PAYS D'AJACCIO (EVISA)",CORSE,,1179056.74,6145362.43,42.25,8.80,,
640393,1978/06/11,"8 h 28 min 10 sec","BEARN (OLORON-SAINTE-MARIE)","PYRENEES OCCIDENTALES",,405951.33,6240155.47,43.20,-0.62,,
40191,1978/07/22,"18 h 56 min 40 sec","HAUT-VERDON (CASTELLANE)","ALPES PROVENCALES",,976173.30,6307966.53,43.82,6.43,,
640394,1978/08/19,"4 h 20 min 37 sec","BEARN (ARTIX)","PYRENEES OCCIDENTALES",,408234.32,6260452.66,43.38,-0.60,3.5,INCERTAINE
640395,1978/08/20,"22 h 9 min 43 sec","BEARN (MOURENX)","PYRENEES OCCIDENTALES",,405449.49,6258725.80,43.37,-0.63,,
340022,1978/08/29,"22 h 23 min 48 sec","LODEVOIS (SOUBES)",LANGUEDOC,,728187.00,6296467.66,43.77,3.35,4.5,SURE
870023,1978/09/03,"3 h 51 min 36 sec","MONTS D'AMBAZAC (AMBAZAC)",LIMOUSIN,,571138.49,6551386.37,46.05,1.33,,
640396,1978/09/18,"18 h 14 min 34 sec","BEARN (SERRES-SAINTE-MARIE)","PYRENEES OCCIDENTALES",,412450.39,6263970.74,43.42,-0.55,5,SURE
660001,1978/11/03,"6 h 38 min 0 sec","FENOUILLEDES (ESTAGEL)","PYRENEES ORIENTALES",,676803.01,6190838.52,42.82,2.72,5.5,"ASSEZ SURE"
870021,1978/11/06,"10 h 48 min 24 sec","PLATEAU DU LIMOUSIN (CHALUS)",LIMOUSIN,,536608.06,6513331.51,45.70,0.90,5.5,"ASSEZ SURE"
640397,1978/11/19,"11 h 32 min 2 sec","BEARN (MONTORY)","PYRENEES OCCIDENTALES",,389165.73,6229816.01,43.10,-0.82,4.5,"ASSEZ SURE"
40142,1978/12/23,"2 h 47 min 33 sec","UBAYE (BARCELONNETTE)","ALPES PROVENCALES",,990680.43,6371641.23,44.38,6.65,4.5,"ASSEZ SURE"
40143,1978/12/24,"8 h 41 min 51 sec","UBAYE (BARCELONNETTE)","ALPES PROVENCALES",REPLIQUE,990680.43,6371641.23,44.38,6.65,4,"INFORMATION ISOLÉE"
170001,1979/01/13,"14 h 57 min 7 sec","ILE D'OLERON",CHARENTES,,374414.07,6540178.92,45.88,-1.20,3,SURE
170002,1979/01/13,"22 h 10 min 4 sec","ILE D'OLERON",CHARENTES,REPLIQUE,386221.53,6543268.34,45.92,-1.05,3.5,SURE
220001,1979/01/13,"15 h 38 min 2 sec","MONTS D'ARREE (BOURBRIAC)",BRETAGNE,,242798.30,6828988.78,48.40,-3.18,4,SURE
200018,1979/01/15,"3 h 20 min 27 sec","CASTAGNICCIA (CERVIONE)",CORSE,,1236445.37,6153561.44,42.28,9.50,3.5,"ASSEZ SURE"
40149,1979/01/23,"2 h 8 min 15 sec","HAUT-VERDON (CASTELLANE)","ALPES PROVENCALES",,982707.30,6311961.93,43.85,6.52,,
200019,1979/03/27,"3 h 0 min 3 sec","NEBBIO (VIGNALE)",CORSE,,1221709.64,6182125.85,42.55,9.35,5,SURE
260176,1979/04/16,"12 h 27 min 12 sec","DIOIS (CHASTEL-ARNAUD)",DAUPHINE,,877061.15,6397048.26,44.65,5.23,5.5,"ASSEZ SURE"
650001,1979/04/19,"5 h 7 min 59 sec","LAVEDAN (ARGELES-GAZOST)","PYRENEES CENTRALES",,447134.89,6218001.20,43.02,-0.10,3.5,"ASSEZ SURE"
640158,1979/04/20,"19 h 40 min 47 sec","BEARN (LACQ)","PYRENEES OCCIDENTALES",,408403.19,6264154.10,43.42,-0.60,4.5,SURE
620001,1979/05/17,"1 h 22 min 17 sec","FLANDRE (ARQUES)",FLANDRE-ARTOIS,,651653.62,7069091.30,50.72,2.32,4.5,SURE
640159,1979/07/06,"11 h 59 min 49 sec","OSSAU (ASTE-BEON)","PYRENEES OCCIDENTALES",,421480.25,6222769.83,43.05,-0.42,4,SURE
640418,1979/07/18,"15 h 17 min","BEARN (ARETTE)","PYRENEES OCCIDENTALES",,401372.96,6229237.14,43.10,-0.67,3,INCERTAINE
40147,1979/09/01,"20 h 16 min 5 sec","UBAYE (ST-PAUL)","ALPES PROVENCALES",,997935.21,6386809.36,44.52,6.75,4.5,"ASSEZ SURE"
680090,1979/09/25,"23 h 20 min","SUNDGAU (ATTENSCHWILLER)",ALSACE,,1035666.63,6727973.27,47.57,7.47,4,SURE
650002,1979/09/28,"5 h 28 min 46 sec","HAUT-COMMINGES (ANERES-MONTREJEAU)","PYRENEES CENTRALES",,494935.23,6223717.50,43.08,0.48,5,"ASSEZ SURE"
40153,1979/10/07,"8 h 57 min 56 sec","MOYENNE-DURANCE (MANOSQUE)","ALPES PROVENCALES",,923846.98,6307759.07,43.83,5.78,3,"INFORMATION ISOLÉE"
40154,1979/10/08,"0 h 59 min 47 sec","MOYENNE-DURANCE (MANOSQUE)","ALPES PROVENCALES",,923846.98,6307759.07,43.83,5.78,,
40155,1979/10/16,"16 h 0 min 13 sec","MOYENNE-DURANCE (MANOSQUE)","ALPES PROVENCALES",,923846.98,6307759.07,43.83,5.78,,
670115,1979/10/27,"14 h 58 min 54 sec","PLAINE DE BASSE-ALSACE (MARCKOLSHEIM)",ALSACE,,1038784.44,6804205.76,48.25,7.57,4.5,"ASSEZ SURE"
670116,1979/10/31,"6 h 31 min 40 sec","PLAINE DE BASSE-ALSACE (MARCKOLSHEIM)",ALSACE,REPLIQUE,1041362.36,6802500.07,48.23,7.60,4,SURE
380098,1979/11/22,"6 h 26 min 49 sec","VERCORS (MONTEYNARD)",DAUPHINE,PRECURSEUR,907836.86,6425778.25,44.90,5.63,4,INCERTAINE
380099,1979/11/22,"7 h 24 min 7 sec","VERCORS (MONTEYNARD)",DAUPHINE,,910404.26,6427716.66,44.92,5.67,6,SURE
1130136,1979/11/28,"12 h 9 min 18 sec","MEDITERRANEE (S-E. CAP MARTIN)","ALPES MARITIMES",,1062631.33,6299332.27,43.70,7.50,3,INCERTAINE
60112,1979/12/04,"8 h 47 min 40 sec","ALPES NICOISES (ISOLA)","ALPES MARITIMES",,1023648.38,6351004.46,44.18,7.05,4,"INFORMATION ISOLÉE"
660002,1979/12/05,"23 h 2 min 30 sec","VALLESPIR (PRATS-DE-MOLLO)","PYRENEES ORIENTALES",,650623.73,6157616.75,42.52,2.40,5,SURE
380100,1979/12/21,"13 h 52 min","VERCORS (MONTEYNARD)",DAUPHINE,REPLIQUE,911467.16,6435161.29,44.98,5.68,,
40148,1979/12/26,"19 h 41 min 4 sec","MOYENNE-DURANCE (VOLX)","ALPES PROVENCALES",,929005.82,6313502.78,43.88,5.85,5,SURE
740118,1980/01/11,"10 h 48 min 35 sec","AVANT-PAYS SAVOYARD (THONON-LES-BAINS)","ALPES SAVOYARDES",,965384.75,6585438.60,46.32,6.45,3,"ASSEZ SURE"
640413,1980/02/18,"22 h","BEARN (AUDEJOS)","PYRENEES OCCIDENTALES",PRECURSEUR,407054.12,6264215.79,43.42,-0.62,4,"ASSEZ SURE"
640414,1980/02/19,"4 h 25 min 31 sec","BEARN (AUDEJOS)","PYRENEES OCCIDENTALES",,407054.12,6264215.79,43.42,-0.62,4.5,"ASSEZ SURE"
640415,1980/02/19,"9 h 30 min","BEARN (AUDEJOS)","PYRENEES OCCIDENTALES",REPLIQUE,408487.61,6266004.67,43.43,-0.60,,
640416,1980/02/19,"11 h","BEARN (LABASTIDE-CEZERACQ)","PYRENEES OCCIDENTALES",REPLIQUE,413633.77,6260208.61,43.38,-0.53,4,"ASSEZ SURE"
170103,1980/02/29,"2 h 37 min 24 sec","BAS-PAYS CHARENTAIS (ST-AGNANT)",CHARENTES,,392393.55,6537395.09,45.87,-0.97,3.5,"INFORMATION ISOLÉE"
170104,1980/02/29,"4 h 10 min","BAS-PAYS CHARENTAIS (ST-AGNANT)",CHARENTES,REPLIQUE,392393.55,6537395.09,45.87,-0.97,,
640001,1980/02/29,"20 h 40 min 50 sec","OSSAU (ARUDY)","PYRENEES OCCIDENTALES",,428425.79,6226182.33,43.08,-0.33,7.5,SURE
640003,1980/02/29,"21 h 1 min 58 sec","OSSAU (ARUDY)","PYRENEES OCCIDENTALES",REPLIQUE,428347.59,6224330.97,43.07,-0.33,6,ARBITRAIRE
640005,1980/02/29,"22 h 58 min 2 sec","OSSAU (ARUDY)","PYRENEES OCCIDENTALES",REPLIQUE,428347.59,6224330.97,43.07,-0.33,4,INCERTAINE
640025,1980/03/01,"22 h 5 min 56 sec","OSSAU (ARUDY)","PYRENEES OCCIDENTALES",REPLIQUE,428347.59,6224330.97,43.07,-0.33,3.5,INCERTAINE
640028,1980/03/02,"2 h 22 min 32 sec","OSSAU (ARUDY)","PYRENEES OCCIDENTALES",REPLIQUE,428347.59,6224330.97,43.07,-0.33,5,ARBITRAIRE
640040,1980/03/03,"0 h 33 min 13 sec","OSSAU (ARUDY)","PYRENEES OCCIDENTALES",REPLIQUE,428347.59,6224330.97,43.07,-0.33,3.5,"ASSEZ SURE"
640045,1980/03/03,"13 h 21 min 29 sec","OSSAU (ARUDY)","PYRENEES OCCIDENTALES",REPLIQUE,428347.59,6224330.97,43.07,-0.33,3.5,"ASSEZ SURE"
640052,1980/03/04,"4 h 39 min 26 sec","OSSAU (ARUDY)","PYRENEES OCCIDENTALES",REPLIQUE,428347.59,6224330.97,43.07,-0.33,4,"ASSEZ SURE"
640079,1980/03/07,"15 h 23 min 49 sec","OSSAU (ARUDY)","PYRENEES OCCIDENTALES",REPLIQUE,428347.59,6224330.97,43.07,-0.33,4,"ASSEZ SURE"
310030,1980/03/11,"14 h 15 min 48 sec","HAUT-COMMINGES (ORE, ST-BEAT)","PYRENEES CENTRALES",,509485.99,6210292.33,42.97,0.67,5,"ASSEZ SURE"
40150,1980/03/15,"8 h 0 min 48 sec","PREALPES DE DIGNE (LA JAVIE)","ALPES PROVENCALES",,965161.44,6346420.64,44.17,6.32,5,"ASSEZ SURE"
40151,1980/03/15,"17 h 15 min 49 sec","PREALPES DE DIGNE (BARLES)","ALPES PROVENCALES",,960860.01,6353654.27,44.23,6.27,,
50087,1980/03/16,"11 h 57 min 42 sec","QUEYRAS (GUILLESTRE)","ALPES DAUPHINOISES",,989226.09,6403081.32,44.67,6.65,4,"INFORMATION ISOLÉE"
1130140,1980/03/16,"22 h 17 min 55 sec","MEDITERRANEE (S. MENTON)","ALPES MARITIMES",,1071264.74,6312817.88,43.82,7.62,4,INCERTAINE
40152,1980/03/17,"11 h 11 min 58 sec","PREALPES DE DIGNE (BARLES)","ALPES PROVENCALES",REPLIQUE,960706.85,6357354.42,44.27,6.27,,
30029,1980/03/18,"15 h 19 min 25 sec","COMBRAILLE (ST-POURCAIN-SUR-SIOULE ?)",BOURBONNAIS,,725664.72,6575992.47,46.28,3.33,4,ARBITRAIRE
640131,1980/03/18,"1 h 20 min","OSSAU (ARUDY)","PYRENEES OCCIDENTALES",REPLIQUE,428347.59,6224330.97,43.07,-0.33,3.5,"ASSEZ SURE"
50086,1980/03/21,"15 h 9 min 3 sec","LARAGNE (N-E. LARAGNE-MONTEGLIN)","ALPES DAUPHINOISES",,931049.89,6367313.60,44.37,5.90,3.5,SURE
640155,1980/03/29,"22 h 27 min","OSSAU (ARUDY)","PYRENEES OCCIDENTALES",REPLIQUE,428347.59,6224330.97,43.07,-0.33,,
630075,1980/04/01,"1 h 24 min 35 sec","MONTS-DORE (LE MONT-DORE)",AUVERGNE,,687007.40,6500067.23,45.60,2.83,4,"ASSEZ SURE"
30031,1980/04/05,"23 h","VALLEE DE L'AUMANCE (HERISSON)",BOURBONNAIS,,678277.95,6601889.94,46.52,2.72,3,"INFORMATION ISOLÉE"
30030,1980/04/09,"11 h 50 min","VALLEE DE L'ALLIER (VICHY)",BOURBONNAIS,,730891.42,6557508.04,46.12,3.40,3.5,"INFORMATION ISOLÉE"
660085,1980/05/17,"1 h 14 min 19 sec","CONFLENT (MONT-CANIGOU)","PYRENEES ORIENTALES",,653353.47,6155742.45,42.50,2.43,5,INCERTAINE
680091,1980/07/15,"12 h 17 min 22 sec","PLAINE DE HAUTE-ALSACE (HABSHEIM)",ALSACE,,1029733.75,6744331.01,47.72,7.40,6.5,"ASSEZ SURE"
680092,1980/07/15,"12 h 25 min 23 sec","PLAINE DE HAUTE-ALSACE (KEMBS)",ALSACE,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",1037430.62,6741055.85,47.68,7.50,,
680093,1980/07/15,"12 h 43 min 58 sec","PLAINE DE HAUTE-ALSACE (HABSHEIM)",ALSACE,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",1029630.62,6746179.80,47.73,7.40,,
680094,1980/07/15,"12 h 54 min 46 sec","PLAINE DE HAUTE-ALSACE (HABSHEIM)",ALSACE,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",1029630.62,6746179.80,47.73,7.40,4,INCERTAINE
680095,1980/07/15,"13 h 2 min 52 sec","PLAINE DE HAUTE-ALSACE (KEMBS)",ALSACE,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",1037430.62,6741055.85,47.68,7.50,,
680096,1980/07/15,"13 h 19 min 8 sec","PLAINE DE HAUTE-ALSACE (HABSHEIM)",ALSACE,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",1029630.62,6746179.80,47.73,7.40,,
680097,1980/07/15,"13 h 31 min 42 sec","PLAINE DE HAUTE-ALSACE (HABSHEIM)",ALSACE,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",1029630.62,6746179.80,47.73,7.40,3,INCERTAINE
680098,1980/07/15,"14 h 20 min 15 sec","PLAINE DE HAUTE-ALSACE (RIXHEIM)",ALSACE,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",1029630.62,6746179.80,47.73,7.40,,
680099,1980/07/15,"15 h 32 min 17 sec","PLAINE DE HAUTE-ALSACE (HABSHEIM)",ALSACE,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",1029630.62,6746179.80,47.73,7.40,4,INCERTAINE
680100,1980/07/16,"3 h 38 min 18 sec","PLAINE DE HAUTE-ALSACE (HABSHEIM)",ALSACE,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",1028280.54,6747959.29,47.75,7.38,4.5,"ASSEZ SURE"
680101,1980/07/16,"15 h 0 min 50 sec","PLAINE DE HAUTE-ALSACE (HABSHEIM)",ALSACE,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",1028280.54,6747959.29,47.75,7.38,4.5,"ASSEZ SURE"
680102,1980/07/18,"23 h 3 min 52 sec","PLAINE DE HAUTE-ALSACE (HABSHEIM)",ALSACE,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",1028280.54,6747959.29,47.75,7.38,5,ARBITRAIRE
680103,1980/07/19,"20 h 27 min 49 sec","PLAINE DE HAUTE-ALSACE (HOMBOURG)",ALSACE,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",1036903.25,6750299.57,47.77,7.50,4.5,"INFORMATION ISOLÉE"
680104,1980/07/22,"0 h 7 min 39 sec","PLAINE DE HAUTE-ALSACE (WITTELSHEIM)",ALSACE,,1016759.87,6752893.71,47.80,7.23,,
680105,1980/07/22,"9 h 59 min 33 sec","PLAINE DE HAUTE-ALSACE (HABSHEIM)",ALSACE,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",1029733.75,6744331.01,47.72,7.40,3.5,INCERTAINE
680106,1980/07/22,"22 h 46 min 24 sec","PLAINE DE HAUTE-ALSACE (BRUNSTATT)",ALSACE,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",1023495.10,6743986.31,47.72,7.32,5.5,INCERTAINE
680107,1980/07/23,"2 h 45 min 1 sec","PLAINE DE HAUTE-ALSACE (HOMBOURG)",ALSACE,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",1036903.25,6750299.57,47.77,7.50,,
640420,1980/07/25,"4 h","BEARN (MONTORY)","PYRENEES OCCIDENTALES",,389165.73,6229816.01,43.10,-0.82,3,"INFORMATION ISOLÉE"
